name,logo,category,address,description,site_web,size,twitter,linkedin,facebook,youtube
Holiday Inn,https://www.emploitic.com/attachments/company_logo/logo_5000921.jpg,Services,"cheraga 16000, Alger, Algérie","L’hôtel Holiday Inn Algiers-Cheraga Tower est une conjugaison parfaite du prestige contemporain et du confort, il constitue le lieu idéal pour vos voyages d’affaires, vos réunions d’entreprise ou encore vos évènements familiaux.",https://www.ihg.com/holidayinn/hotels/fr/fr/cheraga-alger/algct/hoteldetail,Multinationale,,https://www.linkedin.com/company/holiday-inn-algiers-cheraga-tower/,https://www.facebook.com/pages/biz/Holiday-Inn-Algiers-Cheraga-Tower-458972914490962/,
BESSA PROMOTION IMMOBILIERE,https://www.emploitic.com/images/cpsite/bessa/logo-teste.jpg,Promotion Immobilliere,"136 logements, bloc D. Route de Ouled Fayet, Chéraga, Alger","Parmi le fleuron de l’économie algérienne Bessa Promotion œuvre continuellement dans la construction résidentielle ainsi que la création d’emplois et de richesse depuis sa création en 2006. 

Aujourd’hui, riche de 15 ans d’expérience dans le domaine de l’habitat résidentiel et des activités connexes, Bessa Promotion Immobilière se positionne comme étant le Partenaire immobilier du citoyen algérien par excellence, avec plus de 20 résidences aux conceptions architecturales authentiques et contemporaines et près de 1931 appartements livrés à travers les localités de Chéraga, Ouled Fayet, Birkhadem et Draria. 

Géré par le Président Directeur Général Mr BESSA, Bessa Promotion s’est construit, au fil des investissements, autour de l’idée forte de constituer un véritable pôle économique à Alger.",https://www.bessapromotion.com/,500 Employés,,https://www.linkedin.com/company/bessapromotion/mycompany/,https://www.facebook.com/PromotionBessa/,https://www.youtube.com/channel/UCZVKa9mTpLu7TSvEE0W4X8g
Société Générale Algérie,https://www.emploitic.com/images/cpsite/SGA/logo-1.jpg,Finance/ Banque,"Résidence El Kerma –Gué de Constantine, BP 55, Birkhadem, 16105 Alger.","Société Générale Algérie, détenue à 100% par le Groupe Société Générale, est l’une des toutes premières banques privées à s’installer en Algérie, soit depuis 2000.

Son réseau, en constante extension, compte 104 agences réparties sur 33 Wilayas dont 13 Centres d’Affaires dédiés à l’activité de la clientèle des Entreprises.

Société Générale Algérie offre une gamme diversifiée et innovante de services bancaires à plus de 260 000 clients Particuliers, Professionnels et Entreprises.

L’effectif de la banque est de plus de 1 500 collaborateurs.",https://societegenerale.dz/,1500 Collaborateurs,,https://www.linkedin.com/company/societe-generale-algerie/,,
La Société Nationale d’Assurance (SAA),https://www.emploitic.com/images/cpsite/saa_final/logo-saa-vf.jpg,Assurances,Quartier d'Affaires Bab Ezzouar - Alger,"Entreprise Publique Economique, agréée pour pratiquer l’ensemble des
branches d’assurance, créée en 1963, La Société Nationale d’Assurance
(SAA) sise aujourd’hui au quartier d’affaires de Bab ezzouar, Alger, et se
positionne parmi les acteurs majeurs du secteur national des assurances
avec 21,6% de part du marché et un chiffre d’affaires de 29 milliards DA
en 2021. Avec plus de 500 points de vente (agences directes et agents
généraux agréés) et 189 guichets bancassurance sur tout le territoire
National, la SAA assure un service de proximité à ses clients.",https://www.saa.dz/,4000 employés,,https://bityl.co/3LWW,https://www.facebook.com/ww.saa.dz/,
SADEG | Société Algérienne de Distribution de l'Électricité et de Gaz,https://www.emploitic.com/images/cpsite/SADEG/logo.jpg,Energie,Alger,"La Société Algérienne de Distribution de l’Électricité et du Gaz, dénommée « SADEG. Spa », société par actions et dont le siège social est situé au niveau de l’immeuble 500 bureaux- Route nationale n°38- Gué de Constantine- Alger, gère à travers ses cinquante-trois (53) Directions de Distribution, 48 concessions électricité et gaz s’étendant sur le territoire national. De par ses missions et attributions, la SADEG met au service de ses clients pas moins de 187 Districts Électricité et 186 Districts Gaz ainsi que 378 agences commerciales.

Les missions et attributions de La Société Algérienne de Distribution de l’Électricité et du Gaz sont : 
- Adapter le réseau d’aujourd’hui aux nouvelles technologies de demain afin de rester en adéquation permanente avec les besoins des clients ;

- Sécuriser les infrastructures vis-à-vis d’une part, de l’évolution des consommations, en particulier la consommation électrique (capacité du réseau et des postes sources, sécurisation des lignes aux aléas climatiques), et d’autre part, de la croissance de la production et les accidents de grande ampleur ;

- Accompagner et réaliser, dans le cadre du programme de l’Etat, les projets de développement, conformément aux missions de la Société.
- Satisfaire aux meilleures conditions la demande de raccordement des clients électricité et gaz ;

- Contribuer à bâtir une politique sociale en cohérence avec nos valeurs et nos objectifs.",https://www.sadeg.dz/,+30 000,,,https://www.facebook.com/SADEG-Sonelgaz-112379880240257,
Danone Djurdjura Algérie,https://www.emploitic.com/attachments/company_logo/logo_5088279.jpg,Industries,"Tour ABC 8ème étage, Pins maritimes , El mohamadia , Alger, Algérie","Avec la mission d’apporter la santé par l’alimentation au plus
grand nombre, Danone figure parmi les leaders mondiaux de
l’alimentation et s'appuie sur quatre métiers : les Produits
Laitiers frais et d’Origine Végétale, la Nutrition Infantile, les
Eaux et la Nutrition Médicale. À travers son engagement sur le volet
social , Danone a pour ambition de construire un avenir plus sain :
une meilleure santé, de meilleures pratiques alimentaires et un
meilleur monde pour l'ensemble de ses parties prenantes . Avec des
produits présents sur plus de 140 marchés, Danone possède un
portefeuille de marques internationales (Danone, Activia, Actimel,
Alpro, Danette, Danonino, Danio, evian, Volvic, Nutrilon/Aptamil,
Nutricia) et locales (Djurdjura et Trèfle).",https://www.danone.com/fr.html,Multinationale,https://twitter.com/Danone,https://www.linkedin.com/company/danone,https://facebook.com/Danone,
Alliance Assurances,https://www.emploitic.com/images/cpsite/Alliance/Etalent-logo.jpg,Financier : Banques & Assurances,"Centre des affaires El-Qods, Chéraga","Alliance Assurances est une Compagnie d'Assurances algérienne créée en juillet 2005, et pratiquant l’ensemble des opérations d’assurance et de réassurance.
Depuis plus de 15 ans, Alliance Assurances consacre toute son énergie et ses compétences à un seul et unique objectif : être l’assureur préféré des Algériens.
Première société privée cotée à la Bourse d’Alger en 2011, Alliance Assurances a marqué son engagement pour l’économie nationale et son marché financier émergent. Depuis, nous nous conformons à nos obligations de communication financière transparente et régulière ainsi qu’aux recommandations des autorités boursières.",https://allianceassurances.com.dz/fr/,376 collaborateurs,https://twitter.com/allianceassur?lang=fr,https://www.linkedin.com/company/alliance-assurances/,https://web.facebook.com/Alliance.Assurances.SPA,https://www.youtube.com/channel/UC2lYaq0QnxNfpXhu_EEqJEg
Djezzy,https://www.emploitic.com/images/cpsite/Djezzy/page_employeur_2021/logo-djezzy.jpg,Informatique - Telecom - Multimédia,"Dar El Beida, Alger","Djezzy, opérateur de télécommunications algérien a été créé en juillet 2001 avant de lancer son réseau en février 2002. Leader dans le domaine de la téléphonie mobile, avec plus de 14 millions de clients au mois d’août 2022, l’entreprise fournit une vaste gamme de services tels que le prépayés, le post-payé, la Data ainsi que les services à valeur ajoutée et le SUT.

Depuis Juillet 2022, date à laquelle le groupe Veon avait signé l'acte de cession de la totalité de ses actions dans l'entreprise au profit du Fonds National d'investissement, Djezzy devient une entreprise publique. Elle est désormais la propriété du Fonds National d'Investissement (FNI) à hauteur de 96,57% et de Cevital avec 3.43%. Djezzy est engagée depuis 2015 dans un processus de transformation pour devenir l’opérateur numérique de référence en Algérie et contribuer à la digitalisation de l’écosystème national.",http://www.djezzy.dz/djezzy/carriere/rejoignez-nous/,"14,6 M d’abonnés",https://twitter.com/djezzy,https://www.linkedin.com/company/djezzy,https://www.facebook.com/djezzy,https://www.youtube.com/user/djezzytube
gig Algeria,https://www.emploitic.com/images/cpsite/2A/update/dd.jpg,Assurances,"1, Rue Tripoli, Hussein Dey, Alger","Agréée le 05 Août 1998 pour pratiquer les activités d’assurance toutes branches et de réassurance, l’Algérienne des Assurances est la première compagnie d’assurance à capitaux 100 % privés à voir le jour en Algérie.

Aujourd’hui, l’Algérienne des Assurances reste l’unique compagnie d’assurance sur le marché algérien à avoir mis en place un système de management de la qualité certifié ISO 9001.

Toujours dans le cadre de sa stratégie de développement et sa quête de l’excellence, l’Algérienne des Assurances a ouvert en 2015 son capital à Gulf Insurance Group « gig », leader incontesté sur le marché des assurances dans la région MENAT, avec une présence dans 13 pays.",https://www.gig.dz/,+240 Employés,https://twitter.com/2a_assurances?lang=fr,https://www.linkedin.com/company/gigalgeria/,https://www.facebook.com/gigAlgeria,https://www.youtube.com/c/GIGAlgeria/videos
eTalent Solutions,https://www.emploitic.com/attachments/company_logo/logo_5226283.jpg,Services,", Alger, Algérie","Fondée en 2011 par Emploitic, référence de l’emploi en Algérie, eTalent propose des solutions de recrutement et d’outsourcing sur mesure pour répondre aux besoins de nos clients. Nous disposons d’une équipe d’experts et de consultants possédant une grande expérience en entreprise et une connaissance pointue du marché de l’emploi.
Nous mettons l’accent sur la transparence et la confidentialité dans notre approche, pour offrir à chaque client la meilleure qualité de service possible.",http://www.etalent-dz.com/,PME/PMI,,https://www.linkedin.com/grp/home?gid=8273046,https://www.facebook.com/etalentsolutionscabinet,
